primerid,logFC,pvalue,padj,regulation
ACOT1,,0.00544580503214812,0.0418939714996719,stable
C19orf81,,0.02071917736287,0.102207919323536,stable
CD36,,0.00332622300107312,0.0295063497569795,stable
CDKN2A,,0.0173713109600532,0.090591683095431,stable
CRYGS,,0.000314256777883299,0.00496956643317651,stable
CTA-85E5.10,,0.00467813252829933,0.0378629118655129,stable
CYTIP,,0.00798757718406515,0.0537962223129545,stable
DEGS2,,5.43060655634415e-05,0.00122028923795498,stable
DLG2,,5.47028805309341e-05,0.00122245481769955,stable
ELAPOR1,,0.0619569873200526,0.204637182653424,stable
FER1L5,,0.0073207304017614,0.0507065503838525,stable
GLT8D2,,0.00585302786790959,0.043653088869632,stable
GRID2IP,,0.00151341127885911,0.0164621978787348,stable
HMCN1,,0.0217242591269958,0.105505500027174,stable
HP,,0.0179793176241408,0.0928121531408348,stable
HSD17B13,,0.00469733768867912,0.0379511060639238,stable
IGKV4-1,,0.039085100450642,0.153182516161798,stable
IGLV1-51,,0.00690950737307564,0.0489066694432407,stable
ITM2A,,0.374552993322994,0.580926627711533,stable
LY6G5C,,0.0474038619517727,0.172050121288144,stable
NSG1,,0.0106868774097249,0.0652936574990465,stable
NUPR2P1,,0.00974588069471662,0.0613302763000212,stable
PELI2,,0.00794227741284011,0.0535501373935783,stable
PNISR-AS1,,0.0467901863937424,0.170888329392623,stable
PRSS27,,0.0142298080580876,0.0790300652894423,stable
RAB43,,0.000185269168780186,0.00323995753815306,stable
SH2B2,,0.0288303130875474,0.126679276485327,stable
SH2D3C,,0.0873567146319124,0.250727513421108,stable
SNAI1,,0.0187838162405707,0.0956241680345693,stable
STAT4,,0.0166332309329826,0.088133773266051,stable
TMEM30A-DT,,0.00343396023101956,0.0301670000010291,stable
ZNF530,,0.000429901605503472,0.00634352820650389,stable
ZNF750,,0.00694828984317167,0.0490841770013462,stable
TAGLN,1.58253029327579,5.31240251033517e-42,3.24694041431686e-38,up
SFTPC,1.33087896634989,2.92516487642533e-16,6.50131189989514e-14,up
JUND,1.24264255171205,7.70260307655691e-28,6.72547285770226e-25,up
ANKRD1,1.15233753471945,1.74386497189013e-25,1.18427807868805e-22,up
GNAS,1.05389441941012,2.1981888450006e-18,6.10696828211075e-16,up
SFTPA2,0.920788358199878,3.18172704958742e-23,1.49590120977525e-20,up
PEG10,0.888906432510417,1.03026554649653e-21,4.06256969044311e-19,up
KRT7,0.884505374537718,1.76819624931371e-28,1.6626485347393e-25,up
TMSB4X,0.88312666050501,2.58490566219126e-30,2.872535164966e-27,up
FLNA,0.882359286225159,6.00742116279913e-18,1.56244077221397e-15,up
DSTN,0.875953269249645,2.59849508276803e-32,3.97050048646955e-29,up
DPYSL2,0.852197119872567,2.35244236100423e-23,1.15025021683663e-20,up
ATP5O,0.851985334911546,1.12826318452688e-25,8.11287598097445e-23,up
BRI3,0.851566290565314,9.0761461037237e-15,1.45982644699893e-12,up
MAL2,0.840558538064217,3.22450802705324e-19,1.01067656724869e-16,up
CLTB,0.835913443104788,3.24187688109011e-15,6.09672353760701e-13,up
CTGF,0.828776258385103,1.23696497608015e-14,1.91400757817769e-12,up
HSPB1,0.817371089664773,1.30019279559918e-11,1.27148453867235e-09,up
GJA1,0.813670500918047,2.90028618894237e-20,1.01294566781804e-17,up
EZR,0.813002787289181,6.13020024404546e-16,1.27009436920698e-13,up
ATP5E,0.809327588231207,3.50497828742088e-17,8.74384787457813e-15,up
SNORA76,0.789099072196376,9.44308651004477e-36,1.92387149164645e-32,up
CALM2,0.746516149643556,2.32842826826231e-15,4.51789002400611e-13,up
XIST,0.709696429672073,2.89232995427085e-17,7.3658002835431e-15,up
IFI27,0.703916690876938,2.12572207807664e-08,1.17048768839679e-06,up
KRT8,0.696811071867361,4.84465278098549e-17,1.16119677636797e-14,up
CEACAM6,0.683150665027469,3.08973032797317e-13,3.93425661761917e-11,up
ENO1,0.68176336577948,2.57716035950961e-09,1.75017823525808e-07,up
ATP5I,0.677558515235798,7.24305873894724e-13,8.68030882596971e-11,up
SCEL,0.677356203900379,5.26274231862793e-15,9.19025172898683e-13,up
TOMM7,0.663797769838187,2.191134449952e-11,2.10901004064671e-09,up
DST,0.662036113039977,9.5996305424043e-08,4.37857775187874e-06,up
PPP2CB,0.65640876437863,3.19549869211941e-18,8.68039466943725e-16,up
SFTPA1,0.656300126602475,1.15568970879979e-12,1.30806953707118e-10,up
CD81,0.650422697707521,1.01452485427451e-09,7.29503048155975e-08,up
FTL,0.643765707927317,1.7928915488663e-12,1.99239148121288e-10,up
TES,0.641740982476514,3.91241275935036e-14,5.37363298542683e-12,up
CAPN2,0.638540207407037,9.92127060581516e-09,5.91598106758461e-07,up
MAP2,0.624696204309241,1.85122087344734e-14,2.72642457313497e-12,up
ACTN4,0.610598279421684,7.87724164065972e-13,9.21396415049933e-11,up
RTN4,0.608906789469082,9.96740827782849e-11,8.52039152364863e-09,up
VEGFA,0.603051502314349,1.21190738313407e-06,4.344385880185e-05,up
VCL,0.59916372306339,9.4160797312277e-13,1.08586942108045e-10,up
TM4SF1,0.593030896163269,3.11194014172185e-06,0.000100902801836626,up
IDS,0.579058165970395,8.80922364752621e-10,6.40975892067622e-08,up
CCND1,0.575727470180922,2.26876714207318e-07,9.46532748965957e-06,up
FTH1,0.56999556718496,3.76686372313381e-14,5.27294576349847e-12,up
ALCAM,0.568274211737768,9.07221270468493e-11,7.80976958465272e-09,up
COX7C,0.565779369565034,2.41612382653718e-06,8.1362803458927e-05,up
RAB11FIP1,0.564839966684593,8.95739622254614e-08,4.11636133174451e-06,up
COX17,0.562024628145118,1.16188795276035e-08,6.79565470552273e-07,up
QKI,0.561359985251806,2.49690133753884e-08,1.34458687004735e-06,up
UBA52,0.560754962893607,9.18155045782303e-07,3.37042861250537e-05,up
LDLR,0.560553991548652,3.26096065520023e-09,2.16641212223737e-07,up
FSTL3,0.558164684982026,1.76258897349599e-08,9.92898046636633e-07,up
ACTG1,0.552543744700967,3.07977882272772e-11,2.845863268549e-09,up
