primerid,logFC,pvalue,padj,regulation
SLPI,3.28055243528717,3.80679587515521e-124,4.65342727778973e-120,up
SFTPB,2.05782392094865,1.73311725930631e-86,1.05928126888802e-82,up
MGST1,1.69667627938635,7.79839582910496e-56,2.38318976537448e-52,up
MUC1,1.63951321385777,6.65440778986324e-51,1.62686961646577e-47,up
ENSG00000279483,1.35824208519128,2.59638964392271e-32,2.11588446715408e-29,up
CD74,1.3108651529945,4.76650537154971e-40,7.28322020772796e-37,up
NPC2,1.28339070737154,1.6509369040222e-56,6.72701757158912e-53,up
SLC34A2,1.17234224790718,2.62304742763778e-30,1.88612539737907e-27,up
WFDC2,1.11504534990283,1.42078020969553e-27,8.27029394443723e-25,up
NAPSA,0.963878269568872,3.1975626903586e-36,3.90870063269435e-33,up
IFT57,0.961958616549899,5.41466051403616e-22,1.43888717659952e-19,up
PTMA,0.902492672205792,2.65004286447224e-28,1.61970619876543e-25,up
EEF1A1,0.884008510453644,9.71533024143929e-46,1.97933661452257e-42,up
CYB5A,0.864307379959749,1.43369761178473e-25,6.4909331875765e-23,up
RARRES3,0.847024741500952,3.59540357399636e-23,1.12692854585978e-20,up
MT1E,0.835878653047492,1.47462778053501e-17,2.61244202742898e-15,up
HSD17B6,0.825918334937971,3.14096104334029e-23,1.01039757352083e-20,up
GNB2L1,0.817435879247648,1.5265667959628e-21,3.73215050276986e-19,up
HMGN3,0.768238807533122,6.94443781845954e-24,2.35802244146804e-21,up
FTL,0.767943027379252,2.93960836476063e-24,1.12293039533856e-21,up
HLA-B,0.760810750857957,1.99459491053526e-15,2.80252048119344e-13,up
IFITM3,0.746211273804874,3.07859613200868e-11,2.65019430406156e-09,up
TPT1,0.74090392010749,1.93018781424984e-27,1.072482538245e-24,up
ATP1B1,0.739482423622321,9.64085955177445e-18,1.81307487939832e-15,up
C4BPA,0.734518415859243,2.8989656062631e-13,3.19251851990632e-11,up
CTSE,0.710104921707404,6.50552113903151e-21,1.55928412555924e-18,up
EEF1B2,0.703796058983567,6.88682801455447e-16,1.05230732062392e-13,up
NEAT1,0.700602573236087,1.22020090162638e-11,1.1386057878993e-09,up
PPDPF,0.694090196647399,3.62146184161405e-14,4.51721934202961e-12,up
SOD3,0.685240467444748,8.83093119528931e-21,2.03677930058899e-18,up
LDHB,0.680038379827111,1.02612583961006e-28,6.60176961231229e-26,up
HLA-DRB1,0.677943410725102,4.00871045071601e-24,1.40007075855864e-21,up
PABPC1,0.676752426820008,1.15234698472803e-21,2.93464365444072e-19,up
C3,0.648773910923586,1.39747601397422e-20,3.16347162867052e-18,up
FAU,0.644139628751068,8.42206586533856e-19,1.71585555229831e-16,up
NACA,0.63991899180882,3.04318795540123e-22,8.8571260873392e-20,up
AQP1,0.639129597292509,1.3540133154666e-11,1.24674097312157e-09,up
GSTA4,0.628016369429786,2.09123014924405e-27,1.11144336279823e-24,up
CTSH,0.627732960423549,2.51760220483578e-14,3.20574680749089e-12,up
PEBP4,0.627617972887135,9.65946943531202e-12,9.22479331072298e-10,up
PFDN5,0.627004356888272,1.49357798377921e-15,2.14794085573142e-13,up
FOS,0.622922831461747,3.02645069700823e-09,1.91685664871651e-07,up
CLDN3,0.618676673115579,3.33367575507915e-24,1.19855448323787e-21,up
ABCA3,0.614314524240105,9.83754951838844e-18,1.82203341383e-15,up
GABARAP,0.613323654454402,2.02925476073409e-11,1.7975079851604e-09,up
PPIB,0.613269279072929,1.68692988984355e-12,1.7475449977498e-10,up
NPM1,0.605965191396004,9.49615583899175e-11,7.48909735327969e-09,up
S100A14,0.603608201584814,1.33972597666201e-14,1.76094734824908e-12,up
FOLR1,0.588095949331421,5.59536339825244e-08,2.91054136937182e-06,up
CLDN18,0.583241508974707,1.86383017064086e-12,1.9145764710852e-10,up
AKAP13,0.582027831371818,8.15571492001511e-12,7.85003615608383e-10,up
MT2A,0.572619151144599,4.0226559350106e-11,3.41478792705344e-09,up
SERF2,0.571238328587978,1.14382465401116e-10,8.90580418511619e-09,up
SCGB3A2,0.560904071245049,3.20240370727064e-24,1.18624796720231e-21,up
AQP5,0.560260349876334,4.44045140129784e-19,9.5228206893798e-17,up
ATP5G2,0.553139946297971,6.32386088051964e-14,7.65375003994773e-12,up
TMSB10,0.541494457671091,1.62854350870953e-11,1.48562058585561e-09,up
SLC22A31,0.524983910412482,9.10599523785563e-31,6.9569803617217e-28,up
HNRNPA1,0.524964002765321,6.73789350372017e-11,5.41868488088653e-09,up
FTH1,0.520173892062211,3.81449894274824e-13,4.05464652836126e-11,up
SEPP1,0.516940338380986,3.31899141785192e-07,1.4646697145062e-05,up
SELENBP1,0.51636780264526,4.86595461588892e-09,3.01936188957493e-07,up
MACROD2,0.501887139984522,1.46857399341504e-21,3.66364255010315e-19,up
UBA52,0.496858445510182,6.21034262674143e-08,3.17636938365218e-06,up
SERPINA1,0.49483844657342,1.09455441590797e-19,2.38925592501054e-17,up
AQP3,0.492300966054103,3.87128960039303e-22,1.07551463807283e-19,up
H1-0,0.491413031843596,7.02370641667258e-14,8.33570749877724e-12,up
ELF3,0.483291228284607,9.03785361924151e-07,3.71982231116526e-05,up
PCBP2,0.477737754951592,3.24686612294863e-08,1.76398628830774e-06,up
ATP1A1,0.47292461233984,7.57926952352727e-08,3.7815914553305e-06,up
MIF,0.468808476531563,2.52600613303704e-06,9.20965957690852e-05,up
SLC25A6,0.466639065399882,5.50913020082109e-10,3.8324815223222e-08,up
H3-3A,0.45934393670981,5.38439754742001e-11,4.44722132565286e-09,up
NDUFB11,0.457621559782657,3.5366874044489e-07,1.54955078250836e-05,up
LMO3,0.448170604349306,9.69339016646408e-07,3.92357620512771e-05,up
NFKBIA,0.447247107436852,9.65231815479648e-05,0.00213749886094623,up
BTF3,0.444908727642117,2.79217130561336e-07,1.26882907211218e-05,up
KRTCAP2,0.443343812886608,4.16429192005447e-06,0.000140619625499298,up
EEF1D,0.443216509058593,1.3815132376364e-06,5.48299279768419e-05,up
C16orf89,0.441044168400453,2.87285520160631e-23,9.49129242822583e-21,up
PPA1,0.440503219976625,2.9878704687786e-07,1.35273068927221e-05,up
S100A13,0.437420683946774,5.42648794431425e-11,4.45190527726828e-09,up
PLA2G10,0.43572910002206,1.67445376456229e-14,2.17750242744781e-12,up
AK1,0.433702571844044,5.51490833916139e-07,2.34077220617739e-05,up
EDF1,0.432519434371617,1.702164945096e-06,6.54316487070864e-05,up
TXNIP,0.426915948964357,4.86319419699224e-06,0.000160669421254144,up
UQCRB,0.426642636796645,5.52326409087078e-06,0.000178614762557684,up
COX6C,0.426466671061247,4.86802803984605e-05,0.00119973336207819,up
EEF2,0.424794612723148,1.11127184574625e-11,1.05303775522497e-09,up
SSR4,0.424387904661871,3.71844763763729e-06,0.000126967329392397,up
ATP6V0C,0.424096640475108,1.77609602771109e-06,6.80595543659571e-05,up
ERP29,0.420917574171702,4.13727935163392e-11,3.48786915823262e-09,up
SDC4,0.420713170564737,9.46546722082254e-05,0.00209992506909863,up
HLA-DRA,0.410458240811193,5.04720553568986e-14,6.16970404682728e-12,up
COX7C,0.408876303518514,1.94081106013674e-05,0.000524877752192733,up
FGGY,0.40837520402586,5.74350412952233e-17,9.75119367767791e-15,up
NDUFA13,0.406351004898297,2.71967806852142e-07,1.25454130979645e-05,up
AGR3,0.404797575286139,5.26706084696398e-06,0.000172151208003443,up
HLA-A,0.403815168451431,5.22643722982501e-08,2.73025507253764e-06,up
FAM177A1,0.401751210294107,1.50432854392429e-05,0.000421764039470885,up
