primerid,logFC,pvalue,padj,regulation
S100A4,1.47120185601767,4.16214552468978e-26,2.42276509018133e-23,up
S100A6,1.20499332651774,2.01689636255921e-101,2.46545411359237e-97,up
COX6A1,1.07565829216299,5.14437869415348e-36,6.9872094619258e-33,up
PPDPF,1.07514247432819,4.91041034234312e-35,6.00248560248023e-32,up
ENSG00000279483,1.02363132002166,5.92451759315852e-14,9.78666257550942e-12,up
S100A10,1.00996942016741,3.89357525308713e-69,2.37975319468686e-65,up
C19orf33,0.979774879377251,7.62542993818428e-22,2.9129142363864e-19,up
COX6C,0.974565807279305,1.32157773949071e-22,5.57067803018427e-20,up
GPX4,0.951115492356585,9.60481449452836e-20,3.01049365079781e-17,up
MIF,0.939504084097848,5.2539632989549e-17,1.23612315183167e-14,up
NDUFA4,0.934571544094329,1.03310177368419e-22,4.51022717196983e-20,up
GSTP1,0.930768867970717,1.35657219109484e-65,4.14568461598584e-62,up
IFI27,0.90313914753929,1.0004928117941e-16,2.18393288060198e-14,up
HOPX,0.901568822600598,3.69787413323152e-48,7.53380223410368e-45,up
SERF2,0.894455276162103,3.46800490777615e-31,3.26099169174274e-28,up
ADIRF,0.88744765337092,7.16624013917192e-26,3.98182361187443e-23,up
LGALS1,0.882637577526548,4.97139558705608e-13,7.1494517242557e-11,up
COX4I1,0.876920502795734,6.66352534340385e-21,2.32728382279339e-18,up
TMSB10,0.875739370135741,2.97806785938051e-37,4.55048768913342e-34,up
CST3,0.867655320186069,1.01395268466696e-26,6.88586534298272e-24,up
COX7A2,0.858573555050984,2.63263001320999e-16,5.45445242058965e-14,up
LGALS3,0.846441854412177,3.01784330598428e-27,2.30563228577199e-24,up
MYL9,0.838748233425099,1.88492997713133e-23,9.21655361618137e-21,up
POLR2L,0.833762255842397,1.64462770995398e-21,5.91292033131692e-19,up
MGST3,0.828067181270118,1.04646068110259e-13,1.59899192072477e-11,up
FAU,0.827384239759662,2.29232559787835e-23,1.07774569647942e-20,up
S100A11,0.824954103939055,1.42781502694478e-22,5.81787029645766e-20,up
WFDC2,0.817153883439775,4.43835392066934e-12,5.77174875811298e-10,up
MYL6,0.814158357151959,2.50164713278327e-50,6.11602691022854e-47,up
COX7B,0.81164195825437,1.00118883478011e-13,1.54918130586736e-11,up
TMSB4X,0.807982710736762,1.64181048918547e-33,1.8244992199821e-30,up
PFN1,0.807771971721362,1.83250569569819e-18,5.09103400550335e-16,up
MGST1,0.807309124522734,1.62920707749889e-11,1.8788138976742e-09,up
HINT1,0.804884499938308,2.6480450045761e-17,6.47394042718765e-15,up
YBX1,0.803756755687537,4.44816661538233e-13,6.47314151267066e-11,up
ATP5E,0.800468749410415,1.70864518416696e-26,1.09928835427668e-23,up
GNG5,0.796804832836551,2.57125500175142e-16,5.41914157610506e-14,up
CHCHD2,0.795767585083212,3.57917206262973e-14,6.07663879077581e-12,up
PRDX5,0.794252243332779,2.87433874111486e-19,8.3656944693781e-17,up
TCEB2,0.790069802861958,6.23343488496517e-14,1.01596677378419e-11,up
VAMP8,0.788743828529954,2.05673856384361e-17,5.23782754258838e-15,up
CYB5A,0.775617538824923,5.25837728200643e-17,1.23612315183167e-14,up
NEDD8,0.772949883772301,3.96972634328314e-13,5.84649817111965e-11,up
CLIC3,0.772878515390781,1.78899792712109e-14,3.21598686193061e-12,up
COX5B,0.771951337560305,9.86315780108519e-14,1.5457338584675e-11,up
TSPO,0.769829333270513,3.36380920209696e-13,5.01453703493089e-11,up
CEACAM6,0.769089334006456,6.52515056532928e-15,1.24630375797789e-12,up
NDUFB11,0.764790167384168,2.31281579802277e-12,3.07302829511199e-10,up
TSTD1,0.764582441082248,7.9417841055378e-12,9.80609786930243e-10,up
MYL12A,0.763638703834657,2.81511919715216e-28,2.45800121899915e-25,up
TNNC1,0.760864892706423,7.92694872590798e-14,1.25842884708441e-11,up
CSTB,0.752270923312472,5.62507901156778e-16,1.14601609729008e-13,up
MYL12B,0.751830022422456,4.03210165768226e-26,2.42276509018133e-23,up
TOMM7,0.747804108605825,7.28080242536321e-12,9.20701800943229e-10,up
COX6B1,0.734321003548192,7.48859034067789e-12,9.34087023718843e-10,up
NDUFS5,0.729651785400789,1.09109405147912e-11,1.32054788963176e-09,up
CFL1,0.727396308088669,1.27844413917414e-14,2.33249271003951e-12,up
GAPDH,0.714487211167533,3.49192184678314e-12,4.58981211344915e-10,up
ATP5G3,0.71184961008094,8.52809277645245e-11,9.22543416808449e-09,up
TXN,0.711524634063663,5.49442639489888e-14,9.20052989743066e-12,up
ATP5J2,0.710848488928833,1.32297223865664e-11,1.55500121589796e-09,up
UQCRQ,0.706302700805156,7.15540402305214e-11,7.80961239087405e-09,up
SEPW1,0.695449346384961,9.34114381167278e-12,1.14186141953888e-09,up
UBA52,0.689836096403837,1.61753082442945e-11,1.8788138976742e-09,up
ANAPC11,0.689025455278669,8.96348213674165e-11,9.61136891574824e-09,up
COX7C,0.685107774957623,9.61411701005258e-13,1.33548825376003e-10,up
TALDO1,0.685003905861195,5.73177707947956e-10,5.35632696027996e-08,up
FOLR1,0.680826450067828,2.2746915340146e-10,2.35642621286394e-08,up
SFTA2,0.676111527644053,4.42809740291297e-24,2.35343750666123e-21,up
TPI1,0.668780996030046,9.77332695663495e-10,8.91560811327654e-08,up
RARRES3,0.667212911665063,3.00482635071352e-09,2.48182414264338e-07,up
PPIA,0.667152540000853,2.36636105246822e-20,7.81794527172203e-18,up
BTF3,0.662287524601237,2.58108506774196e-09,2.16103999096423e-07,up
BLVRB,0.661246001736476,3.92608300330177e-10,3.80892370098102e-08,up
TMA7,0.660877683736325,2.93678201819237e-10,2.94255929429373e-08,up
RABAC1,0.659092212206351,5.79982754916469e-11,6.44519017827174e-09,up
ARPC3,0.657111054708216,4.38081632133866e-10,4.15124796217393e-08,up
GPX1,0.655522967582598,1.5496303542884e-09,1.34345258516464e-07,up
RHOA,0.653702594868431,1.75463915501153e-11,2.00455224587485e-09,up
ATP5MK,0.652343402767191,4.47585881184276e-09,3.55278559194584e-07,up
FIS1,0.650000343477455,1.15667306165059e-10,1.22949317440146e-08,up
FTH1,0.644176342787195,5.69207036351784e-27,4.09293341903777e-24,up
GGTLC1,0.636895691839341,2.12857627030038e-08,1.55806684599711e-06,up
EEF1A1,0.632124984801614,2.25390816785774e-27,1.83678489625953e-24,up
CALM2,0.630680618462365,8.81176282328899e-17,1.95845434094336e-14,up
B2M,0.627408982719429,1.81680688876631e-23,9.21655361618137e-21,up
NME1-NME2,0.627294799775121,2.72923143053902e-10,2.75720041379413e-08,up
UBL5,0.624010985553415,4.03795648147728e-09,3.22614248559335e-07,up
PRDX1,0.62359422748722,7.75264735706415e-17,1.75496965356949e-14,up
ACTB,0.622401951972426,8.38555103956266e-32,8.54208132563449e-29,up
COX5A,0.621616080724897,3.4997225144435e-09,2.81451368529982e-07,up
CD9,0.620699040081041,3.29464930653517e-20,1.05983666113384e-17,up
NDUFB2,0.619936350708692,6.37127538493158e-09,4.96066689843335e-07,up
SOD1,0.617810048108393,6.12548255036843e-09,4.79986530100665e-07,up
WDR83OS,0.616886860839832,4.60020034550084e-08,3.12404716796679e-06,up
