"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","focal_group"
"GO:0048002","antigen processing and presentation of peptide antigen","12/180","48/10170",0.25,14.125,12.234307624661,2.61829152186229e-11,4.89530270817794e-08,4.31328621928365e-08,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CALR/CTSS/HLA-C/HLA-B/CD74/HLA-DRA/CTSE",12,"4"
"GO:0019882","antigen processing and presentation","14/180","75/10170",0.186666666666667,10.5466666666667,11.1383756595646,3.90063960810991e-11,4.89530270817794e-08,4.31328621928365e-08,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CALR/CTSH/CTSS/HLA-C/HLA-B/PSME1/CD74/HLA-DRA/CTSE",14,"4"
"GO:0019884","antigen processing and presentation of exogenous antigen","10/180","35/10170",0.285714285714286,16.1428571428571,12.0454381787028,2.94026708633662e-10,2.46002346223497e-07,2.16754426259412e-07,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CTSS/PSME1/CD74/HLA-DRA/CTSE",10,"4"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","9/180","31/10170",0.290322580645161,16.4032258064516,11.5288927631649,2.01196382128226e-09,1.26250729785462e-06,1.11240420750369e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CTSS/CD74/HLA-DRA/CTSE",9,"4"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","8/180","24/10170",0.333333333333333,18.8333333333333,11.7404123684486,4.75996281174317e-09,1.73640531167453e-06,1.52995913601517e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/CTSS/CD74/HLA-DRA/CTSE",8,"4"
"GO:0002396","MHC protein complex assembly","7/180","16/10170",0.4375,24.71875,12.7445892053633,4.84256461423175e-09,1.73640531167453e-06,1.52995913601517e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CALR/HLA-DRA",7,"4"
"GO:0002501","peptide antigen assembly with MHC protein complex","7/180","16/10170",0.4375,24.71875,12.7445892053633,4.84256461423175e-09,1.73640531167453e-06,1.52995913601517e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/CALR/HLA-DRA",7,"4"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","8/180","26/10170",0.307692307692308,17.3846153846154,11.228220609236,9.80960469917228e-09,3.0777634743653e-06,2.71183940433697e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/CTSS/CD74/HLA-DRA/CTSE",8,"4"
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","8/180","28/10170",0.285714285714286,16.1428571428571,10.7700487700948,1.89342755572205e-08,5.28055907206926e-06,4.65273835622458e-06,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/CTSS/CD74/HLA-DRA/CTSE",8,"4"
"GO:0009617","response to bacterium","22/180","352/10170",0.0625,3.53125,6.48765116952969,2.47577141852492e-07,6.21418626049756e-05,5.47536394770617e-05,"HLA-DRB1/HLA-A/VIM/CYBA/ROMO1/C3/SLPI/HLA-B/NFKBIA/MIF/FAU/FOS/GPX1/FAM20A/RNF5/WFDC2/S100A14/ASS1/MACROD2/CLDN3/AQP1/C4BPA",22,"4"
"GO:0019883","antigen processing and presentation of endogenous antigen","6/180","18/10170",0.333333333333333,18.8333333333333,10.1644903389036,4.40062578080782e-07,0.000100414279180251,8.84757393825572e-05,"HLA-DRB1/HLA-A/HLA-C/HLA-B/CD74/HLA-DRA",6,"4"
"GO:1902600","proton transmembrane transport","12/180","110/10170",0.109090909090909,6.16363636363636,7.30879254442854,5.09562224491234e-07,0.000106583431956083,9.39114240049195e-05,"ATP1A1/ATP6V0E1/COX5B/COX6B1/ATP1B1/PHB2/COX8A/SLC25A3/SLC25A5/RNASEK/ATP6V0C/CYB5A",12,"4"
"GO:0002399","MHC class II protein complex assembly","5/180","11/10170",0.454545454545455,25.6818181818182,10.993618025712,6.96422387798817e-07,0.000124858585241074,0.000110013792237994,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-DRA",5,"4"
"GO:0002503","peptide antigen assembly with MHC class II protein complex","5/180","11/10170",0.454545454545455,25.6818181818182,10.993618025712,6.96422387798817e-07,0.000124858585241074,0.000110013792237994,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-DRA",5,"4"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","5/180","14/10170",0.357142857142857,20.1785714285714,9.63854675062506,2.89009473264374e-06,0.000483609185262385,0.000426111511107684,"COX7C/COX5B/COX6B1/COX8A/COX6C",5,"4"
"GO:0001916","positive regulation of T cell mediated cytotoxicity","5/180","16/10170",0.3125,17.65625,8.94975763696791,6.12660145044902e-06,0.000857013199729006,0.000755120458222118,"HLA-DRB1/HLA-A/HLA-C/HLA-B/HLA-DRA",5,"4"
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","5/180","16/10170",0.3125,17.65625,8.94975763696791,6.12660145044902e-06,0.000857013199729006,0.000755120458222118,"HLA-DRB1/HLA-A/HLA-C/HLA-B/HLA-DRA",5,"4"
"GO:0001913","T cell mediated cytotoxicity","6/180","27/10170",0.222222222222222,12.5555555555556,8.07015974204066,6.14591139247892e-06,0.000857013199729006,0.000755120458222118,"HLA-DRB1/HLA-A/CTSH/HLA-C/HLA-B/HLA-DRA",6,"4"
"GO:0001914","regulation of T cell mediated cytotoxicity","5/180","20/10170",0.25,14.125,7.88631138551721,2.05298153975564e-05,0.00271209666567719,0.00238964776455767,"HLA-DRB1/HLA-A/HLA-C/HLA-B/HLA-DRA",5,"4"
"GO:0006959","humoral immune response","10/180","109/10170",0.0917431192660551,5.18348623853211,5.89418348577343,2.20420713034904e-05,0.00276627994858805,0.00243738904255965,"HLA-DQB1/HLA-DRB1/HLA-A/ROMO1/C3/SLPI/FAU/WFDC2/C1R/C4BPA",10,"4"
"GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules","4/180","11/10170",0.363636363636364,20.5454545454545,8.70581169623606,2.84230501072576e-05,0.00339723122710555,0.00299332472558136,"CLDN4/CLDN7/CLDN3/CLDN18",4,"4"
"GO:0002250","adaptive immune response","15/180","257/10170",0.0583657587548638,3.29766536964981,5.00775899026531,4.98354793028493e-05,0.00568577513864326,0.00500977712991801,"HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DRB5/HLA-A/C3/CTSH/CTSS/HLA-C/HLA-B/LAMP3/CD74/HLA-DRA/C1R/C4BPA",15,"4"
"GO:0002181","cytoplasmic translation","8/180","76/10170",0.105263157894737,5.94736842105263,5.81088165567512,5.5691435600159e-05,0.00607763058071301,0.00535504376182765,"YBX1/UBA52/PABPC1/FAU/EIF3K/EIF3L/EIF3E/EEF1D",8,"4"
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","5/180","25/10170",0.2,11.3,6.92107946183707,6.54766579244636e-05,0.00684776714126682,0.00603361659207448,"HLA-DRB1/HLA-A/HLA-C/HLA-B/HLA-DRA",5,"4"
"GO:0006119","oxidative phosphorylation","9/180","102/10170",0.0882352941176471,4.98529411764706,5.4297707382487,7.77329034873142e-05,0.00771451761612399,0.00679731663303691,"COX7C/COX5B/NDUFA13/COX6B1/UQCR11/UQCRB/COX8A/COX6C/NDUFB11",9,"4"
"GO:0031343","positive regulation of cell killing","5/180","26/10170",0.192307692307692,10.8653846153846,6.76065395837804,7.99113378562645e-05,0.00771451761612399,0.00679731663303691,"HLA-DRB1/HLA-A/HLA-C/HLA-B/HLA-DRA",5,"4"
"GO:0043129","surfactant homeostasis","4/180","15/10170",0.266666666666667,15.0666666666667,7.3179509464401,0.000111215968837214,0.010338965991904,0.00910973686265054,"CTSH/NAPSA/ITGB6/ABCA3",4,"4"
"GO:0019058","viral life cycle","13/180","221/10170",0.0588235294117647,3.32352941176471,4.6875641888984,0.000148224133633372,0.0132872348364202,0.0117074776226961,"HLA-DRB1/IFITM1/EEF1A1/SLPI/PPIB/PCBP2/LAMP3/PABPC1/SIVA1/CD74/IFITM3/RNASEK/ITGB6",13,"4"
"GO:0019646","aerobic electron transport chain","7/180","69/10170",0.101449275362319,5.73188405797102,5.29381898121153,0.000207136564247094,0.0179280267675933,0.0157965125765207,"COX7C/COX5B/COX6B1/UQCR11/UQCRB/COX8A/COX6C",7,"4"
"GO:0002456","T cell mediated immunity","7/180","73/10170",0.0958904109589041,5.41780821917808,5.084693074485,0.00029479221134217,0.0241912964665096,0.0213151242927812,"HLA-DRB1/HLA-A/CTSH/HLA-C/HLA-B/HLA-DRA/C4BPA",7,"4"
