"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","focal_group"
"GO:0030155","regulation of cell adhesion","43/230","485/10170",0.088659793814433,3.92030479605558,10.0244161603097,5.83045933206745e-15,1.78528664747905e-11,1.47295814704862e-11,"UTRN/EPB41L5/ADAM10/CD47/CD46/TGFBR2/PEAK1/F11R/HLA-E/SEMA3E/FN1/MACF1/B2M/PTPN1/RGCC/UNC13D/EMP2/SPINT2/CD55/DUSP1/VEGFA/SPOCK2/TACSTD2/PLXNB1/LMO7/ERBB3/PIEZO1/ERBB2/AGER/ITGA3/LIMCH1/HSPG2/PDPN/LAMB2/LAMA3/LAMA5/ABI3BP/CAV1/SEMA5A/COL8A1/HYAL1/NPNT/NDNF",43,"3"
"GO:0030198","extracellular matrix organization","23/230","165/10170",0.139393939393939,6.16363636363636,10.1718260739387,2.17126353356737e-12,1.89141495163735e-09,1.56051974420903e-09,"COL4A1/ADAM10/GAS6/CFLAR/SLC39A8/RGCC/PXDN/SPINT2/SPOCK2/CST3/COL4A4/SPINT1/COL4A3/PDPN/LAMB2/ABI3BP/CAV1/COL8A1/COL12A1/MMP28/COL4A2/NPNT/NDNF",23,"3"
"GO:0043062","extracellular structure organization","23/230","165/10170",0.139393939393939,6.16363636363636,10.1718260739387,2.17126353356737e-12,1.89141495163735e-09,1.56051974420903e-09,"COL4A1/ADAM10/GAS6/CFLAR/SLC39A8/RGCC/PXDN/SPINT2/SPOCK2/CST3/COL4A4/SPINT1/COL4A3/PDPN/LAMB2/ABI3BP/CAV1/COL8A1/COL12A1/MMP28/COL4A2/NPNT/NDNF",23,"3"
"GO:0045229","external encapsulating structure organization","23/230","166/10170",0.13855421686747,6.12650602409639,10.1297452607259,2.47082292833097e-12,1.89141495163735e-09,1.56051974420903e-09,"COL4A1/ADAM10/GAS6/CFLAR/SLC39A8/RGCC/PXDN/SPINT2/SPOCK2/CST3/COL4A4/SPINT1/COL4A3/PDPN/LAMB2/ABI3BP/CAV1/COL8A1/COL12A1/MMP28/COL4A2/NPNT/NDNF",23,"3"
"GO:0034330","cell junction organization","38/230","487/10170",0.0780287474332649,3.4502276582448,8.42899511307196,1.42148477836501e-11,8.70517278270733e-09,7.18223888016006e-09,"COL4A1/EPB41L5/ADAM10/AGRN/PERP/PEAK1/F11R/PPFIBP1/DOCK4/SEMA3E/FN1/MACF1/PTPN1/DST/NEDD4L/BAIAP2/VEGFA/MYO9A/HEG1/SPOCK2/HDAC7/PLXNB1/ERBB2/PTPRF/GPM6A/ITGA3/LIMCH1/SLC1A1/LAMB2/LAMA3/LAMA5/SPARC/PLXNA1/CAV1/GABRE/CLDN18/BDNF/CACNA2D2",38,"3"
"GO:0031589","cell-substrate adhesion","24/230","231/10170",0.103896103896104,4.5940146809712,8.40474111869775,3.92428230085183e-10,2.00269206753472e-07,1.65232938983235e-07,"UTRN/EPB41L5/GAS6/PEAK1/SEMA3E/FN1/MACF1/PTPN1/PXN/UNC13D/EMP2/VEGFA/SPOCK2/TACSTD2/MSLN/ITGA3/LIMCH1/BCAM/PDPN/LAMA5/ABI3BP/COL8A1/NPNT/NDNF",24,"3"
"GO:0010810","regulation of cell-substrate adhesion","19/230","148/10170",0.128378378378378,5.67655699177438,8.7174555037992,8.2174893502281e-10,3.59456462719978e-07,2.96571044218759e-07,"UTRN/EPB41L5/PEAK1/SEMA3E/FN1/MACF1/PTPN1/UNC13D/EMP2/VEGFA/SPOCK2/TACSTD2/ITGA3/LIMCH1/PDPN/ABI3BP/COL8A1/NPNT/NDNF",19,"3"
"GO:2000147","positive regulation of cell motility","29/230","366/10170",0.0792349726775956,3.50356379187456,7.42005975549503,3.38103997060322e-09,1.29409304874838e-06,1.06769683282207e-06,"EPB41L5/ADAM10/GAS6/CD47/TGFBR2/PERP/CD151/DOCK4/SEMA3E/FN1/MALAT1/LAMC2/VEGFA/ARHGEF2/SPOCK2/SYNE2/CD99/HDAC7/EGFR/DAPK2/AGER/ITGA3/SEMA3B/PDPN/SPARC/DUOX1/CAV1/SEMA5A/AQP1",29,"3"
"GO:0040017","positive regulation of locomotion","29/230","370/10170",0.0783783783783784,3.46568742655699,7.34912601410559,4.33557999893142e-09,1.47506066185867e-06,1.21700491198075e-06,"EPB41L5/ADAM10/GAS6/CD47/TGFBR2/PERP/CD151/DOCK4/SEMA3E/FN1/MALAT1/LAMC2/VEGFA/ARHGEF2/SPOCK2/SYNE2/CD99/HDAC7/EGFR/DAPK2/AGER/ITGA3/SEMA3B/PDPN/SPARC/DUOX1/CAV1/SEMA5A/AQP1",29,"3"
"GO:0045785","positive regulation of cell adhesion","26/230","307/10170",0.0846905537459283,3.74479535476561,7.428215434009,5.88297625898547e-09,1.80136733050135e-06,1.48622558121738e-06,"UTRN/EPB41L5/CD47/CD46/TGFBR2/F11R/HLA-E/FN1/B2M/UNC13D/EMP2/CD55/VEGFA/SPOCK2/PIEZO1/ERBB2/AGER/ITGA3/PDPN/LAMB2/ABI3BP/CAV1/COL8A1/HYAL1/NPNT/NDNF",26,"3"
