"","1","2","3","4","5","6","7"
"GO:0042773",10,2.99434203193358,0,1.61230430789316,0,0,10
"GO:0042775",10,2.99434203193358,0,1.61230430789316,0,0,10
"GO:0006119",10,3.23955061843041,0,2.11269122490935,0,0,10
"GO:0019646",10,3.27360672527699,0,1.74646750804543,0,0,10
"GO:0022904",10,2.58005734273109,0,1.40790729285607,0,0,10
"GO:0022900",10,2.36635809884333,0,0,0,0,10
"GO:0009060",10,2.28108978400323,0,1.41884710280227,0,0,10
"GO:0045333",10,1.62268160436909,0,0,0,0,10
"GO:0006091",10,1.30663164781913,0,0,0,0,10
"GO:1902600",10,2.05389980914436,0,3.97231029971162,0,0,10
"GO:0015980",10,1.69409055860786,0,0,0,0,10
"GO:0006754",10,2.85684977463507,0,0,0,0,6.92522806035332
"GO:0015986",10,2.33889225034846,0,0,0,0,7.50061683121718
"GO:0009206",10,2.61270867781111,0,0,0,0,6.28439145091215
"GO:0046034",10,1.32746329272964,0,0,1.4420364675811,0,6.39091688425832
"GO:0009145",10,2.57931627552244,0,0,0,0,6.24701584315077
"GO:0042776",10,1.91895213452852,0,0,0,0,6.05373911217897
"GO:0009144",10,1.31376075723099,0,0,0,0,6.66908476275087
"GO:0009152",10,1.86773974157117,0,0,0,0,5.62645631884421
"GO:0009201",10,2.42191414649,0,0,0,0,5.99326225484837
"GO:0009142",10,2.21928924292548,0,0,0,0,5.59949989118633
"GO:0009205",10,1.37449606025161,0,0,0,0,6.25482737718367
"GO:0009199",10,1.31128211262351,0,0,0,0,6.05373911217897
"GO:0009141",10,0,0,0,0,0,6.09754347737196
"GO:0009260",10,1.56921816968009,0,0,0,0,5.64176489141376
"GO:0009150",10,0,0,0,0,0,5.64176489141376
"GO:0046390",10,1.47137981552541,0,0,0,0,5.37280320953553
"GO:0006120",10,1.46044950724641,0,0,0,0,8.59352391478371
"GO:0006164",10,1.81334160706977,0,0,0,0,4.47537260947391
"GO:0006163",10,0,0,0,0,0,5.36725098521528
"GO:0009259",10,0,0,0,0,0,5.69460284412484
"GO:0019693",10,0,0,0,0,0,6.05220301749519
"GO:0009117",10,0,0,0,0,0,5.18466963945599
"GO:0009165",10,1.35261500285066,0,0,0,0,3.91836869088482
"GO:0010257",10,0,0,0,0,0,4.17751728938469
"GO:0032981",10,0,0,0,0,0,4.17751728938469
"GO:0033108",10,0,0,0,0,0,4.79439024438559
"GO:0072522",10,0,0,0,0,0,2.74813225231161
"GO:0072521",10,0,0,0,0,0,3.31905908430787
"GO:0098655",10,1.60944982506228,2.04373242629121,1.58048466162558,0,0,6.05373911217897
"GO:0098662",10,1.47610706303981,0,0,0,0,5.89817392729594
"GO:0034220",10,1.46044950724641,2.09924921141274,1.36101282581852,0,0,5.82854324760532
"GO:0098660",10,0,1.40352952460998,0,0,0,5.60666431334836
"GO:0006123",10,1.35485992785317,0,3.31550545911216,0,0,10
"GO:0006753",10,0,0,0,0,0,3.25664107510733
"GO:0055086",10,0,0,0,0,0,3.34577831097646
