src,dst,edge_type,weight
ClusterA,GENE0,cluster_expr,4.549310684204102
ClusterA,GENE1,cluster_expr,4.496441841125488
ClusterA,GENE2,cluster_expr,4.504141807556152
ClusterA,GENE3,cluster_expr,4.500502586364746
ClusterA,GENE4,cluster_expr,4.510225296020508
ClusterA,GENE5,cluster_expr,4.468566417694092
ClusterA,GENE6,cluster_expr,4.505057334899902
ClusterA,GENE7,cluster_expr,4.486752510070801
ClusterA,GENE8,cluster_expr,4.526700019836426
ClusterA,GENE9,cluster_expr,4.519386291503906
ClusterA,GENE10,cluster_expr,4.5279860496521
ClusterA,GENE11,cluster_expr,4.531222820281982
ClusterA,GENE12,cluster_expr,4.530883312225342
ClusterA,GENE13,cluster_expr,4.526007175445557
ClusterA,GENE14,cluster_expr,4.502528190612793
ClusterA,GENE15,cluster_expr,4.473829746246338
ClusterA,GENE16,cluster_expr,4.527959823608398
ClusterA,GENE17,cluster_expr,4.509702205657959
ClusterA,GENE18,cluster_expr,4.483086585998535
ClusterA,GENE19,cluster_expr,4.514959812164307
ClusterA,GENE20,cluster_expr,4.517497539520264
ClusterA,GENE21,cluster_expr,4.483593940734863
ClusterA,GENE22,cluster_expr,4.517071723937988
ClusterA,GENE23,cluster_expr,4.521381855010986
ClusterA,GENE24,cluster_expr,4.495822429656982
ClusterA,GENE25,cluster_expr,4.501781463623047
ClusterA,GENE26,cluster_expr,4.522558212280273
ClusterA,GENE27,cluster_expr,4.510339260101318
ClusterA,GENE28,cluster_expr,4.513186454772949
ClusterA,GENE29,cluster_expr,4.5329694747924805
ClusterA,GENE30,cluster_expr,2.513298749923706
ClusterA,GENE31,cluster_expr,2.6382029056549072
ClusterA,GENE32,cluster_expr,2.501645565032959
ClusterA,GENE33,cluster_expr,2.6997127532958984
ClusterA,GENE34,cluster_expr,2.6604039669036865
ClusterA,GENE35,cluster_expr,2.7273426055908203
ClusterA,GENE36,cluster_expr,2.436814546585083
ClusterA,GENE37,cluster_expr,2.514202356338501
ClusterA,GENE38,cluster_expr,2.5540857315063477
ClusterA,GENE39,cluster_expr,2.355372428894043
ClusterA,GENE40,cluster_expr,2.529102087020874
ClusterA,GENE41,cluster_expr,2.4636194705963135
ClusterA,GENE42,cluster_expr,2.5851755142211914
ClusterA,GENE43,cluster_expr,2.4825332164764404
ClusterA,GENE44,cluster_expr,2.6409671306610107
ClusterA,GENE45,cluster_expr,2.5352954864501953
ClusterA,GENE46,cluster_expr,2.48445200920105
ClusterA,GENE47,cluster_expr,2.457747459411621
ClusterA,GENE48,cluster_expr,2.653164863586426
ClusterA,GENE49,cluster_expr,2.5521621704101562
ClusterA,GENE50,cluster_expr,2.476370096206665
ClusterA,GENE51,cluster_expr,2.531177282333374
ClusterA,GENE52,cluster_expr,2.546318769454956
ClusterA,GENE53,cluster_expr,2.519495725631714
ClusterA,GENE54,cluster_expr,2.544407606124878
ClusterA,GENE55,cluster_expr,2.448333978652954
ClusterA,GENE56,cluster_expr,2.4834821224212646
ClusterA,GENE57,cluster_expr,2.668473482131958
ClusterA,GENE58,cluster_expr,2.6467621326446533
ClusterA,GENE59,cluster_expr,2.6749656200408936
ClusterA,GENE60,cluster_expr,2.786583662033081
ClusterA,GENE61,cluster_expr,2.6266355514526367
ClusterA,GENE62,cluster_expr,2.536619186401367
ClusterA,GENE63,cluster_expr,2.5602474212646484
ClusterA,GENE64,cluster_expr,2.5781655311584473
ClusterA,GENE65,cluster_expr,2.4638681411743164
ClusterA,GENE66,cluster_expr,2.637356758117676
ClusterA,GENE67,cluster_expr,2.462442398071289
ClusterA,GENE68,cluster_expr,2.5241761207580566
ClusterA,GENE69,cluster_expr,2.5515854358673096
ClusterA,GENE70,cluster_expr,2.3964762687683105
ClusterA,GENE71,cluster_expr,2.7632453441619873
ClusterA,GENE72,cluster_expr,2.5543363094329834
ClusterA,GENE73,cluster_expr,2.7050390243530273
ClusterA,GENE74,cluster_expr,2.5842339992523193
ClusterA,GENE75,cluster_expr,2.506878137588501
ClusterA,GENE76,cluster_expr,2.498811721801758
ClusterA,GENE77,cluster_expr,2.561291217803955
ClusterA,GENE78,cluster_expr,2.525758981704712
ClusterA,GENE79,cluster_expr,2.713022232055664
ClusterA,GENE80,cluster_expr,2.475151538848877
ClusterA,GENE81,cluster_expr,2.6391067504882812
ClusterA,GENE82,cluster_expr,2.6786317825317383
ClusterA,GENE83,cluster_expr,2.592369318008423
ClusterA,GENE84,cluster_expr,2.3758130073547363
ClusterA,GENE85,cluster_expr,2.626140832901001
ClusterA,GENE86,cluster_expr,2.6633660793304443
ClusterA,GENE87,cluster_expr,2.5631134510040283
ClusterA,GENE88,cluster_expr,2.420231342315674
ClusterA,GENE89,cluster_expr,2.561094045639038
ClusterA,GENE90,cluster_expr,2.404379367828369
ClusterA,GENE91,cluster_expr,2.558112382888794
ClusterA,GENE92,cluster_expr,2.905975580215454
ClusterA,GENE93,cluster_expr,2.538170337677002
ClusterA,GENE94,cluster_expr,2.597261905670166
ClusterA,GENE95,cluster_expr,2.598141670227051
ClusterA,GENE96,cluster_expr,2.662278652191162
ClusterA,GENE97,cluster_expr,2.6541242599487305
