,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
GENE0,0.016380961534620715,0.032218361102243576,-0.00798444278318715,-0.0078064923031366616,0.011872828841029241,-0.004943150378487954,-0.0085379368967914,0.02688166875218505,-0.011304715174677954,-0.03667788321176053,0.029410968439864696,-0.032413564375327275,0.01583035678172246,0.024048974116910732,-0.021473403220615517,0.03802639779533572,-0.006309596288679412,0.0476558189114386,-0.0034938454345035358,-0.02149744162357724,-0.038771137430051984,-0.005729469025569046,0.025890860201221434,0.013398292589955882,0.03076819593125658,0.00820478570131347,-0.010587621043207695,-0.005059508223160135,0.04431256764167291,-0.0029068648693811473,0.007439236801851442,-0.003972422838377647,0.03655033411143754,-0.027553157828166832,0.03216178049159585,-0.04866099529217623,0.0028566726602191664,0.010733490433596823,0.01997483426886287,0.0009016942531280423,-0.01693255576478282,-0.06115827600355839,0.025222740021052906,-0.004756632291149378,0.03049275819229157,-0.03241965491097815,0.05152247679450084,0.016863062318548998,-0.04404818911060886,0.04685197360423277,0.009819797170758253,0.010920224116581362,0.030338007246914375,-0.00603140411515861,-0.012819743180212758,0.020572395945916557,0.0006044418233153347,-0.0072097170678891,-0.011832346646659721,0.026646170361107523,0.014858606108257639,-0.06818793682801705,-0.06389624436700192,0.025628471599047065
GENE1,0.018405142604674216,0.03619955576615136,0.020074480764999143,0.019627077785742856,0.014574583636080945,-0.006068002797112323,-0.002617735438988568,0.008241932190689595,-0.008097378223381338,-0.026271753707150142,0.03179455826187391,-0.035040497327163196,0.001147977041121535,0.001743970178903743,-0.001795877999800379,0.003180249097485466,-0.0020748404890291736,0.01567108545323135,-0.004832012452210564,-0.029731110766936943,-0.016965987169307792,-0.0025071768438601526,-0.03133013355214702,-0.016213068741311305,-0.017411133713645686,-0.004642931332617907,-0.04630004316941588,-0.02212540930510413,-0.023851893849761337,0.0015646629385319773,0.0033855515399484983,-0.0018078255358721688,0.004908119863554576,-0.003699944324113035,-0.016854277881323647,0.025500638462800866,0.003575075466082307,0.013432774027253916,-0.04315995019345513,-0.0019483054793246976,0.0017897692821965145,0.006464423047756882,0.011917997214243374,-0.0022475563855390932,0.0040181058003771674,-0.004272017723769706,-0.0382395802967626,-0.012515633286640987,0.03975204659587508,-0.042282370182060755,-0.06369865201193983,-0.07083685577191638,-0.006312385058760802,0.00125494548504795,-0.013390939431971189,0.021489019258007808,-0.0005161652840880866,0.006156764001095327,-0.010408468768947628,0.023439630387599004,0.007458501395624954,-0.034227963127303314,-0.0621415046581413,0.02492465407052542
GENE2,0.020937141275145853,0.04117953495133198,-0.022611772904759797,-0.022107820913060447,-0.007629996396875008,0.003176683508376538,0.005718407638031717,-0.018004389324229025,-0.00023773582090211932,-0.0007713282943938012,-0.003129166595640252,0.0034486264230401925,0.002287880661498941,0.0034756754740036806,-0.011832535063356863,0.02095376688193103,0.003994087199504336,-0.030166984952358325,0.0037565143004101476,0.023113628921214675,-0.04451498120423775,-0.006578275049154822,0.022501105243212968,0.011644124192974094,-0.013105836891436809,-0.003494861491744315,-0.02819633519544147,-0.013474187374303096,-0.010503893156953466,0.0006890460118814211,-0.02522970291002169,0.013472221776879744,0.028788155392079556,-0.02170170556256288,-0.00949164286458958,0.01436092099656738,-0.01647417713303784,-0.061899084596291676,-0.02755497264066401,-0.0012438731726462028,-0.018117457091559104,-0.0654379915637268,0.06642619022422444,-0.012526987993170955,-0.01605939142256157,0.017074215612657755,-0.0305607894695834,-0.010002401464222417,0.013352069152190239,-0.014201963897073375,0.01602202514741935,0.017817486692324393,0.00873018772266818,-0.0017356212531710914,0.013434274060008666,-0.02155856020852592,0.0014669738493115405,-0.017497906318795452,0.00034087583506034675,-0.0007676444786691689,-0.012217384112819495,0.05606705030194964,-0.061740352568410505,0.024763753926231393
GENE3,0.016332318619738297,0.03212268936811281,-0.028766784966125395,-0.028125655292679356,0.033889681198619466,-0.014109677877683866,-0.0030758268765214767,0.009684231709981584,-0.0011147448540657703,-0.00361676353066582,-0.013799815340569661,0.015208652643444363,0.003657832650055139,0.005556862927229594,0.0044498168367724765,-0.007880004087523847,0.010201288619691277,-0.0770494245401364,-0.0057179912456458105,-0.03518249027087615,-0.006301424110082445,-0.0009312033808867415,0.02539131602042785,0.013139782867070678,0.018409036076282016,0.004909036471007689,-0.006216664586911579,-0.002970758536762121,0.008862329864020847,-0.0005813609256621581,0.05289301561567979,-0.028243948783846916,-0.0008420455335572491,0.0006347688481830326,0.006582627735735772,-0.009959561080347616,-0.003468921859258225,-0.013033918834919426,0.0155867694876285,0.0007036103670555621,0.00798466938024708,0.02883962826037222,-0.002281279420097919,0.0004302152480541623,0.000566037230808676,-0.0006018062247394131,-0.0030731492240252986,-0.0010058271671534306,0.013848590647753045,-0.014730090307573981,0.0009311184667441955,0.0010354615435653096,0.010875249046783891,-0.0021620741705381066,0.008117300715026449,-0.013026183284182133,-0.002952042169315785,0.03521164153816467,-0.009546032743786714,0.021497444451178155,0.0006058089641744112,-0.0027801304562494046,-0.059832706482841655,0.023998606396678925
GENE4,0.02166054131600904,0.0426023307798094,-8.437201343938427e-05,-8.249160165589452e-05,0.0012063085653395433,-0.0005022362169261112,-0.0037653815645259676,0.011855292580250157,0.00047769599998248623,0.0015498734667201215,-0.019168673110460326,0.02112562261001128,0.010667696874877846,0.016206025522254777,0.005202873415225036,-0.0092135621044091,-0.0023968685500080234,0.018103334721851425,0.003304694912106836,0.020333608709519422,-0.004293748476874771,-0.0006345157901597287,0.018877530241325973,0.009768955978415152,0.011823563852103291,0.0031529247879542857,0.02317084355086182,0.011072654848970211,0.030153736150558757,-0.0019780581663758168,0.03499259928572618,-0.018685438342576417,0.025971918521326093,-0.01957870940212226,-0.035885271566760864,0.05429466292218753,-0.00821101620769487,-0.03085157958161708,0.01763115973161685,0.0007958972370894252,0.0033044513501972812,0.01193526544504014,-0.03059281259980308,0.005769347825329624,-0.018024080357789612,0.01916305706431782,0.010010824698177873,0.0032764954491365443,-0.004585887731404916,0.00487779169318957,-0.01769395782665378,-0.0196767796336743,-0.007192749527301652,0.001429967985213906,-0.011890075984982294,0.019080518817852832,0.0038538444570481024,-0.04596824224799887,-0.002551744042893027,0.005746468432283678,-0.0011791738974638566,0.005411371338851483,-0.059459762332856436,0.02384902031927165
GENE5,0.01960642937243092,0.038562267551362106,-0.002488019741210139,-0.0024325688701416887,0.002229962120685201,-0.0009284255882462215,0.0024383579955878022,-0.0076771628472994775,-2.8561060629319893e-05,-9.266569126115969e-05,-0.003525063806289066,0.0038849411860038176,-0.0119570948539461,-0.018164837888430013,0.008175097296692252,-0.014476955451622725,0.0010245288228568474,-0.007738174966791808,0.0011246627570060093,0.00691998899727616,-0.008808024234174358,-0.001301620364303443,-0.0017224362298292038,-0.0008913456098189629,0.007464622353990759,0.0019905498161987842,-0.005527241998529213,-0.00264130405015694,-0.011431332901102573,0.0007498852309600763,0.021019508319199288,-0.011224051219592471,0.010665252738236012,-0.00803990986998711,0.0004936372726081909,-0.0007468765917575872,0.0026965227183364886,0.010131752652056679,-0.0016079273234188742,-7.258427316398263e-05,-0.0018564568627031453,-0.0067052902571314126,-0.00869601873633904,0.001639939336138278,-0.002522589956973433,0.002681997324454973,-0.004079104089518608,-0.0013350714240651647,0.0017612546908775876,-0.0018733632404300186,0.004311278558777111,0.0047944094233486586,-0.004938306768161063,0.0009817692876460812,-0.0032279113068668557,0.005179968783279584,0.0007200142930245005,-0.008588253058122365,-0.0008426925074172378,0.001897723992138908,0.0002366726718366303,-0.0010861194568675446,-0.05682463666595372,0.022792084282057073
GENE6,0.015802964170643717,0.03108154579690283,-0.004842518915258158,-0.004734592966131666,0.08697280915467102,-0.03621038256741361,0.014086180405804484,-0.044350296825766265,-0.006081874304473804,-0.019732498519535183,-0.0024676062486239363,0.0027195267016217333,-0.004431000179827777,-0.006731434427285968,-0.01017235998018908,0.018013828695429824,0.00774054339745472,-0.05846363500103658,-0.010419867358437224,-0.06411287919358477,0.012255809160904872,0.0018111224902124974,0.036671206434754605,0.018977027013430268,0.013155341878908376,0.003508062714665136,0.006686008601226055,0.003195044038690521,0.001046574519103583,-6.865435393889685e-05,0.038273011518484425,-0.020437121320252747,-0.006762870691568757,0.005098132426591793,0.00434662056443559,-0.006576466837032429,-0.011068087567471043,-0.04158656806499957,0.02855742573160035,0.001289125422501273,0.007854350559103026,0.028368932959396794,-0.0022453991303599766,0.00042344876096215553,-0.009873978434047826,0.01049793434269322,0.0090477454015983,0.002961284162600315,0.004391333788946811,-0.004670853874388937,0.006709722143202687,0.007461627596744407,-0.03115461806274227,0.006193751951487532,-0.012198590458079929,0.019575605326715075,-0.006145248659249816,0.07329986515827393,-0.002811797899783285,0.006332103689658548,-0.0027850920469871935,0.012781123557387968,-0.06180433493681728,0.024789416941761656
GENE7,0.018742911503401415,0.036863885532465765,-0.002490586054243063,-0.002435077987369149,0.0022004308878258664,-0.0009161305129242102,0.002456805056370965,-0.007735243362934334,-3.061933065537372e-05,-9.93437000802168e-05,-0.0035604574417421766,0.00392394819400431,-0.011964395837918508,-0.018175929310878757,0.00818230729316211,-0.014489723348310979,0.001022028661867843,-0.007719291473476344,0.0011291454749628885,0.0069475709179421955,-0.008804396692296768,-0.0013010842982964731,-0.0017384512190101204,-0.0008996332259585172,0.007468755247455528,0.001991651912183898,-0.00555018226163682,-0.0026522665174912676,-0.011451408881497894,0.0007512021973476239,0.021063857045226862,-0.011247732666603403,0.010680967901671846,-0.008051756611992868,0.0004997587458613797,-0.000756138422931132,0.002702726167697523,0.010155061120436381,-0.0016247466934887428,-7.334352498699326e-05,-0.0018547804879118443,-0.006699235400818301,-0.008709992386027432,0.0016425745578975948,-0.0025434371540127205,0.0027041618964368536,-0.004104086302920927,-0.00134324798403795,0.001762563358883445,-0.00187475520863816,0.0043255894910249615,0.004810324068503366,-0.004938616321905599,0.0009818308290556032,-0.003223051615570643,0.0051721702266225,0.0007203524502925748,-0.008592286561651537,-0.0008487982885082468,0.00191147406961698,0.00023589810499224774,-0.0010825648761304825,-0.05694090256676118,0.022838717967124274
GENE8,0.017022410192513937,0.03347997352010293,0.02456370193807806,0.02401624700973869,0.026148035217930552,-0.010886510023421541,-0.009411794848513703,0.02963300789636381,0.01937042869720694,0.06284690153975131,-0.018504383681497687,0.020393515191868165,-0.0008690329538738996,-0.0013202072007995347,0.021024199442849955,-0.03723092064767774,0.003701362937134906,-0.02795606466519713,-0.002145733831397894,-0.01320258398515889,-0.004329340943583624,-0.0006397755258571133,-0.05322879648751843,-0.02754543433506193,-0.0357020226119761,-0.009520462145039465,-0.03465010830148613,-0.016558252998412435,0.015578010048186685,-0.00102190354912607,-0.014324074051111267,0.007648805974974696,0.006171514231070724,-0.004652343399353145,0.016782612857268436,-0.02539220878804742,-0.0022692415407324857,-0.008526311995118661,0.06156239731683246,0.002779019796714033,-0.006484428841302024,-0.02342094686182087,-0.02353524259274015,0.004438395463903264,0.042797059175431265,-0.045501488613221376,0.03165993912154997,0.010362147932786898,0.009132784833389161,-0.009714110899601893,-0.015124994128210525,-0.016819932506739545,0.0011210064695405509,-0.0002228637820036478,-0.010568824930345683,0.016960250146488408,0.0014351302604995008,-0.017118079415849356,0.012507702148044074,-0.028167055294720432,-0.010589332938750902,0.04859572696237286,-0.06132304139245018,0.024596372451357144
GENE9,0.016137357082445663,0.03173923561319938,0.010915821098981517,0.010672538548469746,0.006233954674704406,-0.002595453520163188,0.0027199431090110214,-0.008563732733689414,0.01947643663285558,0.0631908418003598,0.012149318218073938,-0.01338965457676584,0.004871846308743973,0.007401153833489478,0.013274084351999319,-0.023506549322997457,0.006365066690511655,-0.048074781916949354,-0.007967034939579835,-0.04902073424175792,-0.028418497226136163,-0.004199590478977427,0.0005523186659351687,0.000285820055091925,-0.06766161215348711,-0.018042950232280957,0.05663967460447384,0.02706641069310545,0.008592135021150579,-0.000563636385234051,-0.03213911874190933,0.017161729448363427,-0.025609290284278816,0.019305345196535362,0.013706484854708097,-0.020738005943467478,0.0035600453692976844,0.013376300843509228,-0.032835134039264156,-0.0014822276503184087,-0.005221826451426727,-0.018860584769099905,-0.06431178301066733,0.012128242352520824,0.008340676386412301,-0.008867739955384183,0.00673515884863506,0.0022043855508513304,0.003279916343602831,-0.0034886917500448187,-0.00047731548201809245,-0.0005308044501634736,0.0875551508540919,-0.017406565067599487,-0.031192316687507732,0.05005565870900468,0.0018830751439414988,-0.022461117814336785,0.014261386565002934,-0.03211631194932445,-0.005949600796455131,0.027303436157118773,-0.06385839185772804,0.025613289142419355
